Place of origin;Listening;Reading;Writing;Speaking;Overall
Macedonia, the Former Yugoslav Republic of;6.88;6.63;5.94;6.72;6.61
Madagascar;5.94;6.25;5.89;6.33;6.17
Malawi;6.75;6.42;6.53;7.25;6.8
Malaysia;7.25;7.07;6.19;6.64;6.85
Maldives;6.97;6.98;6.62;7.48;7.07
Mali;5.69;5.43;5.52;6.16;5.76
Malta;7.97;7.68;7.14;8.03;7.77
Marshall Islands;6;5.5;5;6;5.5
Martinique;6.25;6.17;5.17;6.42;6
Mauritania;5.57;5.49;5.25;6.13;5.66
Mauritius;7.13;6.8;6.27;6.91;6.84
Mexico;6.66;6.85;5.86;6.58;6.55
Moldova, Republic of;6.58;6.66;6.03;6.7;6.56
Monaco;7.1;6.6;6.2;6.75;6.7
Mongolia;6.26;5.96;5.6;6.07;6.04
Montenegro;7.16;6.86;6.01;6.85;6.78
Montserrat;7.5;6;6.5;7;7
Morocco;6.15;6.1;5.87;6.46;6.21
Mozambique;5.83;5.79;5.76;6.52;6.05
Myanmar;6.4;6.4;5.75;6.2;6.25
Namibia;6.68;6.23;6.39;7.51;6.77
Nauru;6.44;5.96;5.56;6.42;6.16
Nepal;6.13;5.69;5.64;5.92;5.91
Netherlands;7.88;7.65;6.53;7.52;7.46
Netherlands Antilles;4.5;3.75;3.5;3.5;3.75
New Caledonia;6.8;6.64;5.95;6.49;6.51
New Zealand;7.23;6.79;6.31;7.42;7.01
Nicaragua;6.44;6.42;6.03;6.91;6.54
Niger;5.71;5.71;5.54;6.39;5.89
Nigeria;6.67;6.35;6.39;6.97;6.66
Niue;6.5;4.5;6;8;6.5
Norway;7.29;7.03;6.35;7.59;7.12
Oman;5.09;4.96;5;5.67;5.24
Other;6.19;6.05;5.66;6.17;6.08
Pakistan;6.4;6.02;5.89;6.32;6.22
Palau;5.67;5.75;5.33;6.17;5.75
Palestine;5.75;5.53;5.37;6.05;5.74
Panama;6.51;6.67;5.88;6.84;6.55
Papua New Guinea;6.73;6.21;5.99;7.35;6.64
Paraguay;6.72;7.04;6.21;6.86;6.79
Peru;6.71;6.81;6.1;6.58;6.61
Philippines;7.25;6.81;6.25;6.83;6.85
Pitcairn;7.5;6.5;7;8.5;7.5
Poland;7.26;7.22;6.23;6.96;6.98
Portugal;7.32;7.22;6.19;6.96;6.99
Puerto Rico;6.32;6.23;5.77;6.55;6.32
Qatar;5.41;4.92;4.73;5.7;5.26
R̩union;6.74;7.13;5.84;6.26;6.55
Romania;7.08;7.04;6.17;6.78;6.83
Russian Federation;6.92;6.9;6.05;6.63;6.69
Rwanda;5.57;5.74;5.83;6.26;5.93
Saint-Barth̩lemy;5.5;5;5.5;5.5;5.5
Saint Kitts and Nevis;6.71;6.04;5.6;6.76;6.35
Saint Lucia;6.98;6.33;6.72;7.74;7.02
Saint Pierre and Miquelon;7.25;7.5;6.5;6.25;6.75
Saint Vincent and the Grenadines;6.81;5.94;6.41;7.22;6.69
Samoa;6.56;5.98;6.07;7.64;6.62
San Marino;6.3;6.63;5.73;6.37;6.3
Sao Tome and Principe;4.6;4.75;4.2;5.4;4.75
Saudi Arabia;5;4.87;4.7;5.57;5.1
Senegal;5.48;5.7;5.58;6.13;5.8
Serbia;7.43;7.26;6.14;6.99;7.01
Seychelles;7.79;7.07;6.42;7.58;7.28
Sierra Leone;5.75;5.61;6.07;6.94;6.14
Singapore;8;7.56;6.81;7.57;7.55
Sint Martin (Dutch Part);7.5;8;7;9;8
Slovakia;7.43;7.22;6.28;6.93;7.03
Slovenia;7.81;7.65;6.59;7.29;7.4
Solomon Islands;6.27;6.11;5.86;6.89;6.33
Somalia;5.44;5.2;5.14;6.04;5.51
South Africa;7.88;7.44;7.04;8.27;7.72
South Sudan;5.22;5.1;5.84;6.54;5.74
Spain;7.01;7.19;6.12;6.71;6.82
Sri Lanka;6.58;6.16;5.96;6.52;6.37
Sudan;6.27;5.97;5.62;6.33;6.11
Suriname;6.08;6;5.58;6.92;6.25
Swaziland;6.81;6.37;6.56;7.44;6.84
Sweden;7.58;7.21;6.45;7.53;7.25
Switzerland;7.6;7.37;6.34;7.14;7.17
Syrian Arab Republic;5.85;5.59;5.31;6.07;5.77
Tahiti;6.5;6.25;5.5;6.5;6.25
Tajikistan;6.09;5.79;5.53;6.35;5.99
Tanzania, United Republic of;6.15;6;6.07;6.83;6.33
Thailand;6.23;6.01;5.51;5.95;5.99
Timor-Leste;5.08;5.1;5.18;5.87;5.36
Togo;5.22;5.53;5.51;6.05;5.63
Tonga;6.44;5.99;5.94;7.41;6.51
Trinidad and Tobago;7.85;7.26;6.88;7.92;7.54
Tunisia;6.32;6.2;5.88;6.59;6.32
Turkey;6.2;6.28;5.61;6.13;6.12
Turkmenistan;6.16;6;5.59;6.27;6.07
Turks and Caicos Islands;7.25;5.5;5.75;7.5;6.5
Tuvalu;5.97;5.67;5.77;6.8;6.13
Uganda;6.41;6.2;6.64;7.16;6.66
Ukraine;6.63;6.61;5.96;6.55;6.5
United Arab Emirates;4.84;4.69;4.54;5.29;4.9
United Kingdom;7.37;6.89;6.41;7.45;7.09
United States of America;6.73;6.43;6.03;7.07;6.63
Uruguay;7.42;7.64;6.58;7.07;7.24
Uzbekistan;5.64;5.55;5.2;5.67;5.58
Vanuatu;6.81;6.35;6.26;7.24;6.73
Venezuela;6.6;6.64;5.96;6.71;6.54
Viet Nam;5.99;6.17;5.63;5.76;5.95
Virgin Islands, U.S.;4.83;4.83;5.33;5.5;5.17
Wallis and Futuna Islands;5.75;6.5;4.75;5.5;5.75
Western Sahara;6;5;5;5.5;5.5
Yemen;5.21;5.03;4.88;5.63;5.25
Zambia;6.61;6.12;6.39;7.44;6.7
Zimbabwe;7.04;6.56;6.55;7.44;6.96
