Date,pcr_num
2022/10/7,111748
2022/10/8,138812
2022/10/9,51345
2022/10/10,24321
2022/10/11,10726
2022/10/12,92074
2022/10/13,178243
2022/10/14,146606
2022/10/15,135345
2022/10/16,63238
2022/10/17,27315
2022/10/18,88575
2022/10/19,126701
2022/10/20,164220
2022/10/21,108553
2022/10/22,141849
2022/10/23,58066
2022/10/24,24213
2022/10/25,91929
2022/10/26,161698
2022/10/27,157106
2022/10/28,101632
2022/10/29,147521
2022/10/30,64650
2022/10/31,30025
2022/11/1,85804
2022/11/2,153304
2022/11/3,178952
2022/11/4,56682
2022/11/5,148139
2022/11/6,65865
2022/11/7,36812
2022/11/8,113651
2022/11/9,325901
2022/11/10,197386
2022/11/11,137029
2022/11/12,161077
2022/11/13,105450
2022/11/14,33765
2022/11/15,110172
2022/11/16,192063
2022/11/17,224505
2022/11/18,158311
2022/11/19,157740
2022/11/20,87072
2022/11/21,42999
2022/11/22,119870
2022/11/23,233311
2022/11/24,143498
2022/11/25,174493
2022/11/26,139169
2022/11/27,164644
2022/11/28,54613
2022/11/29,137201
2022/11/30,222380
2022/12/1,233709
2022/12/2,226649
2022/12/3,189899
2022/12/4,109572
2022/12/5,40598
2022/12/6,137025
2022/12/7,207315
2022/12/8,303340
2022/12/9,157763
2022/12/10,207094
2022/12/11,98890
2022/12/12,49713
2022/12/13,128379
2022/12/14,271923
2022/12/15,267483
2022/12/16,192967
2022/12/17,214022
2022/12/18,110081
2022/12/19,46827
2022/12/20,183011
2022/12/21,275968
2022/12/22,265450
2022/12/23,183263
2022/12/24,208458
2022/12/25,101069
2022/12/26,46006
2022/12/27,149125
2022/12/28,256619
2022/12/29,299809
2022/12/30,106357
2022/12/31,71178
