file,0,1
data/digits\original\unknown\0-.png,0.9999589920043945,5.800970814817674e-11
data/digits\original\unknown\1.png,1.3624101313780557e-07,0.9996694326400757
data/digits\original\unknown\2.png,4.4181557967704066e-08,1.765769957273733e-05
data/digits\original\unknown\3.png,0.01765911467373371,0.01277549285441637
data/digits\original\unknown\4.png,4.189011633570772e-06,5.502622570929816e-07
data/digits\original\unknown\5.png,8.854683208880942e-09,3.613025156834482e-10
data/digits\original\unknown\6.png,3.1449155358131975e-05,2.0826750102287406e-08
data/digits\original\unknown\7.png,0.00024288652639370412,1.4823478977632476e-07
data/digits\original\unknown\8.png,0.19460666179656982,0.00012223731027916074
data/digits\original\unknown\9.png,2.6482229031898896e-07,2.4374791962600284e-08
